Name,Gender,Favorite Color,Favorite Flavor,Food Finickiness,Signature Moves,External Texture List,Palette,Breed Face,GUID,Breed Personality,Owner Name,Adoption Date,Generations,Gender,Blood Status,Ancestors,Full Tree,Tree Trimmed,Inbred %,Generations Stored in Tree,Mom,Dad,Profile Comment,Liveliness Center,Liveliness Range,Playfulness Center,Playfulness Range,Independence Center,Independence Range,Confidence Center,Confidence Range,Naughtiness Center,Naughtiness Range,Acrobaticness Center,Acrobaticness Range,Patience Center,Patience Range,Kindness Center,Kindness Range,Nurturing Center,Nurturing Range,Finickiness Center,Finickiness Range,Intelligence Center,Intelligence Range,Messiness Center,Messiness Range,Quirkiness Center,Quirkiness Range,Insanity Center,Insanity Range,Constitution Center,Constitution Range,Metabolism Center,Metabolism Range,Dogginess Center,Dogginess Range,LoveDestiny Center,LoveDestiny Range,Fertility Center,Fertility Range,LoveLoyalty Center,LoveLoyalty Range,Libido Center,Libido Range,OffspringSex Center,OffspringSex Range,Is Neutered?,With Child?,Is Pregnant?
Hawkmoth,Male,"green","beef; bone","No food finickiness","01",None,;noir;coterielakehouse;desat;cirpyr;cirpale;kestrel;notcat;bluff,Great Dane,"38d8f1b7-6b452a45-9a38ed2b-b728643a","Sheepdog","Dahlia@Spellbound","1/26/2025 7:43:30 pm","414","Male","Mixed Breed","85654","false","true","99.995330048801","23","Greys (210)","Greys (63)","Thank you for adopting from Spellbound!  // If you have any questions, please contact me on Discord. I am a member at Petzcord, Petz Life, Petz Show Club, and Petz Auto Adoption Center. //  // Prefix is Spellbound unless otherwise noted. // You may brex/genex to you heart's desire. // If no longer wanted, you may MPA, sell, trade, or delete. //  //  //  //  // ",72,8,66,23,61,23,74,10,54,19,82,40,96,12,91,27,84,28,0,19,92,22,20,35,0,41,0,18,63,8,60,6,100,43,1,0,100,24,0,50,41,49,50,9,Not spayed/neutered,None,Not pregnant
Ice Age Anthem,Female,"green; yellow","beef","No food finickiness","01",None,None,Dalmatian,"d7179ad1-1d48e842-9f7971d8-13eca3be","Dalmatian","Tea","7/4/2024 7:33:30 pm","644","Female","Mixed Breed","620","false","true","63.2258064516129","10","Logic","Galileo","",80,26,95,15,33,18,30,0,24,40,50,7,43,12,83,7,92,20,0,21,0,36,10,20,8,17,0,18,43,30,9,29,100,25,1,0,100,37,0,38,31,16,50,30,Not spayed/neutered,None,Not pregnant
JRTGoldieCorgi14,Female,"blue","beef; cheese","No food finickiness","01",None,None,Great Dane,"482d5c80-3981be49-a6b1c5c-cc78d785","Dachshund","AbbysPetz","1/17/2025 4:31:22 am","6","Female","Mixed Breed","18","false","false","0.0","6","Lassie","Oscar1","OWs Used: // Filthy Hippie JRT  // Oasis Golden Retriever // Lida's Corgi Dachie //  // +-+-+-+-+-+-+-+-+-+-+-+ //  // PREFIX: APS or AbbysPetz //  // Rules are simple: // 1. Pls use the prefix if you show. // 2. Love them lots! // 3. If you no longer want your pet, please do not sell on Petz Bazaar, TFM or anything similar. Anything else is fine (including returning to me). //  // That's it! They are yours now!  //  // Thank you for adopting this furbaby! //  // Abby // https://www.dreamtyme.org/abbyspetz // ",50,0,50,0,50,0,100,5,50,18,53,23,48,18,84,18,89,33,0,25,51,25,4,32,0,34,0,8,1,28,33,29,100,39,1,0,100,21,0,33,57,39,50,38,Not spayed/neutered,None,Not pregnant
Koni,Female,"black; red","beef; bone","No food finickiness","01",None,None,Dachshund,"a6f8966f-4be0454d-9fc621e2-6a68d611","Labrador","Becca@Sungraze","1/30/2025 10:36:40 pm","793","Female","Mixed Breed","258","false","true","45.348837209302324","9","Nightsky","Narwhal","Celia's JRT // Sharon's Starcatcher Dali",90,16,98,31,49,28,74,13,99,16,0,17,46,38,90,11,86,36,0,15,61,8,17,31,0,30,0,13,33,25,17,22,100,16,1,0,100,22,0,30,55,18,50,37,Not spayed/neutered,None,Not pregnant
Lemon,Female,"red","beef; bone","No food finickiness","01",None,None,Chihuahua,"95b4c2c9-5e67574c-849139a7-3eb62511","Chihuahua","Becca @ Retro","6/30/2024 8:33:4 am","1","Female","Purebred","0","true","false","0.0","1","None","None","",94,28,94,25,17,22,41,11,93,10,70,24,13,22,52,24,52,42,0,19,38,22,12,27,0,20,0,7,48,46,87,8,100,25,1,0,100,19,0,38,53,27,50,28,Not spayed/neutered,None,Not pregnant
Lucky14,Male,"green","beef; turkey","No food finickiness","01; 13",None,None,Dalmatian,"d8bb68c9-8847be41-a25db9e5-62a05516","Labrador","Bok","11/16/2025 5:11:30 pm","4","Male","Mixed Breed","10","false","false","0.0","4","Jessica","Jason","Thanks for adopting a precious baby from Buttloaf Acres! This pet is yours to do with as you please. (Brexing, name change, gender swap, etc.) My show prefix is Buttloaf, but you don't need to use it if you don't want to. //  // If you do brex them, I'd love to see the end result. So please feel free to ping me on Discord @bokaholic. //  // If you no longer want this pet please please return them to me via Discord or at buttloafacres@gmail.com. //  // GLHF!  ",84,11,93,25,7,40,36,36,7,33,64,40,45,18,85,30,90,34,0,18,70,10,16,27,1,25,0,31,33,14,49,21,100,17,1,0,100,18,0,28,43,24,50,35,Not spayed/neutered,None,Not pregnant
Lucky4,Female,"red; blue","beef","No food finickiness","01",None,None,Great Dane,"62ff5a7a-2fb23749-855e2e7-49525a2e","Labrador","Fleckihund","1/8/2025 8:40:41 am","394","Female","Mixed Breed","40338","false","true","99.45708760969805","27","Casey","Struppi","",81,9,80,23,11,32,85,6,2,17,95,10,84,31,91,6,88,31,0,33,56,35,17,26,17,22,0,22,26,13,28,17,100,35,1,0,100,24,0,9,52,19,50,16,Not spayed/neutered,None,Not pregnant
Manner,Female,"pink","chicken","Only likes 1 flavor","01",(2) \resource\textures\Bisquedoos\DAXSTRIPO52.bmp | \resource\textures\Bisquedoos\AIDABLACK.bmp,None,Poodle,"3cc1c9c8-699464e-b5b8762-925d2e71","Poodle","Audaxity","3/27/2025 3:11:6 am","1","Female","Purebred","0","true","false","0.0","1","None","None","Rules: // -Prefix is Audaxity or TW // -No resell // -Feel free to reroute textures or make other small edits, or ask me to! // -If no longer wanted, please MPA or return to petzspiderbatz@gmail.com, or CelestialEvolution/Audaxity on Discord // -Enjoy!",1,41,5,7,91,19,90,22,78,23,19,23,0,38,13,20,84,39,96,33,88,3,2,12,0,13,0,33,67,46,57,26,100,18,1,0,100,26,0,10,42,32,50,10,Not spayed/neutered,None,Not pregnant
My Eyes Adored You,Female,"red; yellow","beef; cheese","No food finickiness","01",None,None,Dalmatian,"28481f2a-e836a14f-a5a67687-b56c8129","Dalmatian","Krissy","11/16/2024 2:5:52 am","5","Female","Mixed Breed","14","false","false","57.14285714285714","5","Bootz25","Spot35","",89,35,88,39,14,36,49,25,50,14,60,36,47,42,90,17,90,24,0,15,12,16,6,28,0,45,0,24,5,8,14,27,100,40,1,0,100,18,0,37,61,13,50,23,Not spayed/neutered,None,Not pregnant
nextt(1),Female,"red; pink","chicken; beef","No food finickiness","01",None,None,Great Dane,"611076f-3bc75d4b-ab3019d0-871e5615","Great Dane","Lizzie","6/20/2025 2:46:21 pm","6","Female","Mixed Breed","18","false","false","0.0","6","keeps","next","GD GS Pap Mutt Sheepie Dal  // P Bul Gol Chi",18,19,82,4,6,21,40,9,29,6,30,14,50,4,98,14,87,22,0,47,15,24,14,26,1,12,0,16,62,26,59,16,100,12,1,0,100,16,0,12,42,42,50,12,Not spayed/neutered,None,Not pregnant
nextt,Female,"red; pink","chicken; beef","No food finickiness","01",None,None,Great Dane,"3321908c-73b2eb49-9bb16d0-3bf19929","Great Dane","Lizzie","6/20/2025 2:46:21 pm","6","Female","Mixed Breed","18","false","false","0.0","6","keeps","next","GD GS Pap Mutt Sheepie Dal  // P Bul Gol Chi",18,19,82,4,6,21,40,9,29,6,30,14,50,4,98,14,87,22,0,47,15,24,14,26,1,12,0,16,62,26,59,16,100,12,1,0,100,16,0,12,42,42,50,12,Not spayed/neutered,None,Not pregnant
Pascal,Male,"green; blue","beef","No food finickiness","01",(1) \resource\textures\skin1_c3.bmp,None,Poodle,"81ee3b2b-e0999f44-849f2e1a-d51a5b3e","Poodle","KingHarry","11/18/2024 8:57:12 pm","8","Male","Mixed Breed","142","false","false","0.0","8","Cruella","Pongo","OW/S USED // - Cargo Show Coat Poodle // - Salem Extreme Spotted Dali //  // RULES // - Feel free to change name and gender // - Feel free to change eyelids or brex in any way // - If shown, prefix is King/King's // - Don't put up for download/auction/sale // - If you no longer want the pet, feel free to MPA!",15,38,37,10,87,5,82,3,73,25,20,23,31,16,33,12,93,40,0,12,53,23,13,21,0,27,0,17,61,34,58,27,100,14,1,0,100,26,0,36,67,41,50,29,Not spayed/neutered,None,Not pregnant
Rely,Male,"blue; pink","cheese; bone","No food finickiness","01; 04",None,None,Dalmatian,"5be457a9-ffb68c43-9e63e9df-a1295456","Dalmatian","Helen","11/6/2024 10:52:48 am","761","Male","Mixed Breed","2922","false","true","67.24845995893224","14","Xiomara","Spotlight","Prefix: Daisychain, but you don't have to use it if you don't want to. //  // http://www.babyz.org/daisychain //  // Do whatever you like with petz bred by me <3",93,27,95,7,17,34,100,43,92,8,11,33,42,25,88,21,89,18,0,33,93,21,5,11,0,17,0,42,5,26,31,21,100,25,1,0,100,12,0,22,41,10,50,34,Not spayed/neutered,None,Not pregnant
Ripley,Male,"white; red","beef; cheese","No food finickiness","01; 04",None,None,Unknown,"86a19d12-a2a29d43-baa5da8e-eab0c891","Dalmatian","Jess @ PRU","7/1/2021 6:47:31 pm","9","Male","Mixed Breed","42","false","false","0.0","9","Mauja","Grannus","* Bred by Jess @ PRU  (Completely my bred lines!) //  // * OWs used:  // - Cargo's Beagle // - PDH surprise dali file //  // Non-inbred :) // Parents are Mauja x Grannus //  // Enjoy! //  // - x -x -x -x -x -x -x -x -x - //  // PRU in the show prefix //  // Please do not brex/hex without permission // Do not convert to a breedfile or put up for download, etc. //  // MPA or return to jesspetzadict@gmail.com if no longer wanted, please. ",89,10,90,32,5,31,88,42,0,24,92,31,96,39,89,27,86,26,0,28,100,44,10,18,0,19,0,18,66,29,64,25,100,29,1,0,100,39,0,27,59,46,50,27,Not spayed/neutered,None,Not pregnant
Rise,Female,"green; pink","chicken; cheese","No food finickiness","01; 04",None,None,Dalmatian,"6d904ce0-e8dc8948-a1539f4-d8df8d7","Dalmatian","Helen","11/6/2024 10:53:3 am","761","Female","Mixed Breed","2922","false","true","67.24845995893224","14","Xiomara","Spotlight","Prefix: Daisychain, but you don't have to use it if you don't want to. //  // http://www.babyz.org/daisychain //  // Do whatever you like with petz bred by me <3",92,22,95,11,6,19,37,40,63,25,44,28,46,22,83,15,97,14,0,32,100,14,5,31,0,18,0,34,21,13,18,19,100,16,1,0,100,13,0,17,60,15,50,33,Not spayed/neutered,None,Not pregnant
Slide,Female,"yellow; blue","beef; fish; bone","No food finickiness","01",None,None,Dalmatian,"29b166ee-7d88e641-9bc6cd9b-dd1ba897","Dalmatian","Andi @ Cirrutopia","1/27/2025 2:16:32 am","858","Female","Mixed Breed","12536","false","true","99.96809189534142","17","Spot15","CLAW-20250126-09","Cirrutopia's ________________________ //  // Enjoy! :) //  // All I ask is that you keep Cirrutopia in the show name. Feel free to delete/adopt out/trade/brex as you wish. //  // Andi // cirrutopiapetz@gmail.com // IG: HarmonyFarmsNJ //  // https://www.harmonyfarmsnj.com/petz",100,23,89,31,22,31,43,28,84,35,0,30,80,19,94,7,81,38,0,25,21,10,20,22,0,12,0,48,20,23,19,31,100,33,1,0,100,25,0,5,30,38,50,11,Not spayed/neutered,None,Not pregnant
Slink,Female,"yellow; blue","beef; fish; bone","No food finickiness","01",None,None,Dalmatian,"c4428c4-af9e2c40-b73f828-c0cded53","Dalmatian","Andi @ Cirrutopia","1/27/2025 1:52:12 am","857","Female","Mixed Breed","10914","false","true","99.98167491295582","16","Spot54","CLAW-20250126-01","Cirrutopia's ________________________ //  // Enjoy! :) //  // All I ask is that you keep Cirrutopia in the show name. Feel free to delete/adopt out/trade/brex as you wish. //  // Andi // cirrutopiapetz@gmail.com // IG: HarmonyFarmsNJ //  // https://www.harmonyfarmsnj.com/petz",5,25,86,20,5,6,31,7,0,49,1,40,97,34,100,36,90,24,0,22,14,38,12,21,0,22,0,31,9,23,16,31,100,33,1,0,100,25,0,5,30,38,50,11,Not spayed/neutered,None,Not pregnant
Spot15 (8),Male,"green; pink","chicken; beef","No food finickiness","06; 23",None,None,Poodle,"c9ccf314-a697e04a-bdcaf739-fa7037b0","Dalmatian","Moss Rose","10/25/2024 5:19:3 am","15","Male","Mixed Breed","990","false","false","98.98989898989899","15","Spot10","Spot23 (3)","",7,14,18,22,50,25,54,5,61,35,18,26,0,44,12,22,83,16,90,45,82,21,3,22,0,29,0,24,60,30,61,41,100,19,1,0,100,41,0,18,48,8,50,31,Not spayed/neutered,None,Not pregnant
Spot16 (5),Male,"yellow; pink","chicken; beef","Dislikes only cheese","01",None,None,Poodle,"5d36a83d-41349d4a-985b5690-2627546","Dalmatian","Moss Rose","10/25/2024 3:9:33 am","12","Male","Mixed Breed","230","false","false","99.1304347826087","12","Tess","Spot40","",7,8,39,17,83,15,74,14,46,24,30,19,8,22,63,31,87,34,43,32,88,14,0,32,0,34,0,23,36,41,8,24,100,19,1,0,100,26,0,18,56,8,50,31,Not spayed/neutered,None,Not pregnant
Spot38,Female,"green; yellow","beef","No food finickiness","01",None,None,Dalmatian,"9a5abe8a-59187840-ad91f550-2913b126","Dalmatian","Keena","10/24/2024 9:37:47 pm","690","Female","Mixed Breed","4036","false","true","99.87611496531218","18","Spot32","Eisley","",50,0,50,0,50,0,50,0,50,0,50,0,50,0,95,47,96,7,0,44,51,28,16,17,0,29,0,42,63,37,51,41,100,45,1,0,100,19,0,31,36,13,50,5,Not spayed/neutered,None,Not pregnant
V2_Prism,Male,"blue","beef","No food finickiness","01",(1) \Resource\textures\partiz.bmp,None,Unknown,"c4544a40-e58b9843-9e83c8a0-65412793","Aussie","Dew","1/2/2024 3:18:54 am","1","Male","Purebred","0","true","false","0.0","1","None","None","",81,35,97,27,17,31,70,6,91,28,65,8,35,32,89,26,91,19,0,34,18,31,13,33,0,27,0,33,13,23,19,27,100,33,1,0,100,31,0,36,30,34,50,14,Not spayed/neutered,None,Not pregnant
Willow,Male,"green; yellow","beef; bone","Dislikes only cheese","01",None,None,Poodle,"7e6ed2c3-5263342-9f0e92e-ff7666bb","Poodle","Witzy@witzworld","11/9/2024 10:57:33 pm","913","Male","Mixed Breed","922","false","true","77.87418655097615","13","Marsh","Starborn","SGCh. Rho/Witz's Surf & Sand (Marsh) x SGCh. Xoops/Witz's Got a Feelin' (Starborn) //  // - If you no longer want the pet feel free to MPA, return to me or delete. // - Keep Witz as a prefix if you plan to show; feel free to add your own. // - Enjoy!  //  // Thank you! //  // - Witzy @ witzworld // http://witzworld.fantazzled.com/",6,3,18,20,17,19,78,29,36,27,15,22,23,23,11,17,92,21,97,11,57,12,13,29,0,32,0,32,49,27,0,23,100,42,1,0,100,14,0,36,34,24,50,21,Not spayed/neutered,None,Not pregnant
