Name,Gender,Favorite Color,Favorite Flavor,Food Finickiness,Signature Moves,External Texture List,Palette,Breed Face,GUID,Breed Personality,Owner Name,Adoption Date,Generations,Gender,Blood Status,Ancestors,Full Tree,Tree Trimmed,Inbred %,Generations Stored in Tree,Mom,Dad,Profile Comment,Liveliness Center,Liveliness Range,Playfulness Center,Playfulness Range,Independence Center,Independence Range,Confidence Center,Confidence Range,Naughtiness Center,Naughtiness Range,Acrobaticness Center,Acrobaticness Range,Patience Center,Patience Range,Kindness Center,Kindness Range,Nurturing Center,Nurturing Range,Finickiness Center,Finickiness Range,Intelligence Center,Intelligence Range,Messiness Center,Messiness Range,Quirkiness Center,Quirkiness Range,Insanity Center,Insanity Range,Constitution Center,Constitution Range,Metabolism Center,Metabolism Range,Dogginess Center,Dogginess Range,LoveDestiny Center,LoveDestiny Range,Fertility Center,Fertility Range,LoveLoyalty Center,LoveLoyalty Range,Libido Center,Libido Range,OffspringSex Center,OffspringSex Range,Is Neutered?,With Child?,Is Pregnant?
blankets,Male,red,turkey,No food finickiness,1,(3) \resource\textures\tabbyplus\grytab17.bmp | \resource\textures\tabbyplus\grytab16.bmp | \resource\textures\tabbyplus\grytab25.bmp,None,Tabby,9ed0a329-7f62694e-8e20a3d2-094e1f,Siamese,coyotes@panacea,10/10/2024 2:26:55 am,11,Male,Mixed Breed,178,false,false,98.314606741573,11,blue2,blue1,"phantasm OWs calico/tabby+ and meezer. // XX RULES XX // prefix: panacea's // everything else is up to you, this cat is yourz now! // XX CONTACT XX // petzpanacea@yahoo.com",96,27,100,18,20,32,87,36,93,14,87,26,81,38,90,5,93,48,0,34,47,3,2,39,0,8,0,18,60,13,91,9,100,15,1,0,100,37,0,41,68,21,50,24,Not spayed/neutered,None,Not pregnant
Blimou,Male,yellow,fish,No food finickiness,1,None,None,Siamese,9186d8a4-73ac5042-8af5e047-2093b5cd,Siamese,Nebula @ Poppy Hill,10/3/2025 10:46:15 am,501,Male,Mixed Breed,638,false,true,98.58934169279,10,Tiffany,Fendi," // + no reselling or mpa'ing please! if no longer wanted, return to me or delete // + prefix poppyhill('s) for dogz, calluna('s) for catz // + free to sex change/brex bred petz unless stated otherwise // +  for hexies: please no touching code/rehexing, minus changing texture pathways.  //  // enjoy your new pet! ~ //  // x nebula @ poppy hill",12,36,80,15,84,32,100,33,5,46,92,43,82,9,7,22,2,50,0,48,57,35,13,9,0,39,0,30,89,43,100,29,100,19,1,0,100,14,0,37,32,22,50,20,Not spayed/neutered,None,Not pregnant
Blue Cheese,Male,red; green,chicken; milk; catnip; soft; water,Dislikes only cheese,01; 09,None,None,Orange Shorthair,a5ea854-d51d9b42-83119612-e9dd19ef,Orange Shorthair,Tea,2/9/2025 5:48:56 am,803,Male,Mixed Breed,2194,false,true,60.5287146763902,12,Scamp8,Pumpkin,,95,26,19,16,10,44,98,8,98,21,84,22,97,20,87,23,93,22,17,2,58,22,18,34,13,31,41,32,11,20,44,15,0,23,1,0,100,26,0,7,63,19,50,23,Not spayed/neutered,None,Not pregnant
Bows,Female,red; pink,milk; catnip; cheese; bone,No food finickiness,01; 14,None,None,Orange Shorthair,65c138cb-cd298b4b-aa758ba4-6d9e7e40,Orange Shorthair,Celia @ FH,3/2/2024 2:33:24 am,798,Female,Mixed Breed,174,false,true,45.4022988505747,9,Leo6,Prologue,,53,37,30,11,76,5,94,19,5,23,16,16,87,38,6,20,88,20,4,22,56,20,15,21,0,33,0,15,14,34,80,23,0,14,1,0,100,21,0,16,43,32,50,5,Not spayed/neutered,None,Not pregnant
Breakfast Room,Female,red,chicken; soft,No food finickiness,1,None,asympix,Alley Cat,ffd123ac-6625be4e-95267680-df5cf66e,Chinchilla Persian,percy@smeuse,6/20/2025 12:35:49 pm,1,Female,Purebred,0,true,false,0,1,None,None,"thank you very much for adopting! //  // renaming, gender-swapping, rerouting textures, and small functional edits are all permitted (please ask me first regarding any appearance changes, including eye colour). //  // PLEASE NOTE: this pet requires a custom palette ('asympix' by queenie), as well as the updated petza by prism mirror lens (available at ratshack.neocities.org). //  // if at any time you no longer want your pet, please return to smeuses@gmail.com. if showing, please include smeuse's in the prefix. //  // most importantly, enjoy! :3",94,5,86,0,64,36,87,47,12,17,0,29,91,12,86,24,95,42,13,23,51,27,14,30,89,35,0,5,40,22,35,20,100,29,1,0,100,25,0,11,56,40,50,15,Not spayed/neutered,None,Not pregnant
Bruce,Male,red,chicken; fish,No food finickiness,1,(5) \resource\catz\stripe\stripe14_lilac.bmp | \resource\catz\stripe\stripe17_lilac.bmp | \resource\catz\stripe\stripe16_lilac.bmp | \resource\catz\stripe\stripe11_lilac.bmp | \resource\catz\stripe\stripe13_lilac.bmp,None,Chinchilla Persian,857b92fc-ed53e340-b8a71db-aa27613,Chinchilla Persian,Nebula @ Poppy Hill,10/1/2025 11:18:29 am,721,Male,Mixed Breed,314,false,true,26.7515923566879,9,Cataract,Gotham,"
SGCh EC's Senses Fail - Cataract - owned by Beth P250830263
UGCh  // X // UGCh Calluna's The Hero U Deserve - Gotham - P250905110 //  // - - - - - - //  // + no reselling or mpa'ing please! if no longer wanted, return to me or delete // + prefix poppyhill('s) for dogz, calluna('s) for catz // + free to sex change/brex bred petz unless stated otherwise // +  for hexies: please no touching code/rehexing, minus changing texture pathways.  //  // enjoy your new pet! ~ //  // x nebula @ poppy hill",95,35,99,31,13,16,88,23,9,32,64,33,87,13,84,30,87,13,19,19,55,28,15,26,0,35,0,29,38,33,54,31,50,28,1,0,100,31,0,23,54,27,50,34,Not spayed/neutered,None,Not pregnant
Bumbler,Female,white; green; blue; pink,fish; milk; soft; water,No food finickiness,1,None,None,B+W Shorthair,73b4a618-cadbe543-8dfc4fc5-2caccd1,B+W Shorthair,gyiyg,7/8/2024 8:54:51 pm,8,Female,Mixed Breed,90,false,false,0,8,Sorry For Party Rocking,Ben,,44,10,10,21,19,21,0,22,8,11,8,24,4,22,45,21,99,26,50,38,100,11,50,29,0,20,0,26,100,30,51,26,100,30,1,0,100,25,0,7,37,18,50,22,Not spayed/neutered,None,Not pregnant
Camb,Male,green; yellow,chicken; cheese; soft; water,No food finickiness,01; 17,None,None,Maine Coon,988026-bdaf849-b1e5be4-d5d32be6,Scottish Fold,Becca@Sungraze,1/16/2025 1:50:58 pm,820,Male,Mixed Breed,42828,false,true,95.1106752591762,38,Giannis,Newland,,75,25,66,29,38,13,57,40,8,17,89,39,33,18,80,36,83,20,10,29,49,6,16,34,0,35,0,31,47,15,99,11,0,11,1,0,100,27,0,44,48,4,50,23,Not spayed/neutered,None,Not pregnant
Camille,Female,red; green,fish; milk,No food finickiness,01; 23,None,None,B+W Shorthair,b88bd0ca-5f9dd47-89d3a959-2fea374d,B+W Shorthair,Jenn@Nightbloom,8/20/2024 2:50:30 am,798,Female,Mixed Breed,25540,false,true,94.5066562255286,20,Crimini,Picnic,NB/your's //  // /-----------------------------------------------------------------\ //  // Please... // *Keep NB or Nightbloom in the prefix. // *Don't re-sell/auction off the pet. // *Feel free to give away/trade/rehome. // *Feel free to hex eyelids/gender/whatever. // Enjoy! //  // \-----------------------------------------------------------------/ //  //                 Jenn@Nightbloom //          nightbloompetz@gmail.com,4,7,100,25,1,13,75,29,22,24,96,32,87,10,89,24,90,38,12,37,52,7,20,34,0,29,0,31,20,28,58,22,0,34,1,0,100,23,0,33,37,29,50,28,Not spayed/neutered,None,Not pregnant
Captain Hook,Male,red; yellow,chicken; fish; soft; water,No food finickiness,01; 18,None,None,B+W Shorthair,88772e2f-5ca6f44e-80c3f1fc-d08426d3,B+W Shorthair,Bailey @ fleur de lis,10/5/2024 11:28:49 pm,230,Male,Mixed Breed,2738,false,true,54.4558071585099,17,Humboldt,Perroquet,"~~Adopted from Bailey @ fleur de lis~~ //  // Thanks for adopting! // >>>Please don't resell or put up for download anywhere // >>>If shown, please include my prefix, FDL // >>>Feel free to rename, brex, change however you'd like // >>>If no longer wanted, feel free to delete or respectfully MPA //  // bred using: // Aniseed Devon Rex OW (OWs Calico) // Cargo B&W Shorthair",95,26,86,15,7,25,14,32,3,39,0,7,84,30,95,12,92,21,1,30,59,27,18,35,0,32,92,26,71,8,93,8,7,38,1,0,100,29,0,23,65,18,50,43,Not spayed/neutered,None,Not pregnant
Cara_Cara,Male,pink,chicken,Dislikes only cheese,01; 24,None,None,Persian,45cff537-a95094b-aa7f9870-b390970,Persian,Angora,5/11/2025 12:47:0 am,811,Male,Mixed Breed,884,false,true,99.7737556561086,13,Scaredy3,Snowball2,,0,17,28,34,56,35,69,17,0,5,90,43,13,17,87,35,90,25,5,13,56,41,5,30,0,27,0,27,34,32,15,17,50,24,1,0,100,33,0,21,51,47,50,43,Not spayed/neutered,None,Not pregnant
Carlos,Female,red,chicken; milk; catnip; soft; water,No food finickiness,1,None,None,Calico,5c90d27b-cc223946-96267ce9-fcb951b3,Calico,Mako,10/13/2024 1:40:35 am,330,Female,Mixed Breed,1902,false,true,65.2996845425868,17,Lucius,Triforce,Rules: //  // 1. Keep Mako's in the prefix if you show. //  // 2. Feel free to MPA or delete. Please do not resell. //  // 3. Renaming/gender changing/minor brexing/trimming is fine. //  // 4. Please do not modify hexes without reaching out to me unless explicitly stated.,87,28,92,12,19,38,93,18,20,27,93,27,94,29,53,27,88,15,8,18,64,31,5,17,0,15,0,30,70,25,50,45,38,33,1,0,100,45,0,37,52,28,50,20,Not spayed/neutered,None,Not pregnant
Catalie_Portman,Female,green,chicken; fish; soft; water,No food finickiness,1,None,None,Unknown,ce89119c-af365443-91184d21-6586cc27,Japanese Bobtail,Lilibet,6/28/2025 9:33:19 am,719,Female,Mixed Breed,5670,false,true,95.0793650793651,17,Nori,Yuzu,"bred by lilibet, ow-free.",96,34,85,47,8,46,83,22,42,9,52,30,8,14,100,16,93,45,11,17,58,39,9,29,0,33,0,21,46,39,63,5,92,6,1,0,100,18,0,36,34,24,50,21,Not spayed/neutered,None,Not pregnant
Cat_Damon,Female,green,chicken; milk; catnip; soft; water,Only likes 1 flavor,1,None,None,Unknown,02824c8-6d13314c-883c8dfd-a477774,Persian,Lilibet,6/28/2025 9:33:28 am,719,Female,Mixed Breed,5670,false,true,95.0793650793651,17,Nori,Yuzu,"bred by lilibet, ow-free.",98,31,91,38,8,46,83,22,42,9,52,30,8,14,100,16,93,45,11,17,58,39,9,29,0,33,0,21,64,39,63,5,92,6,1,0,100,18,0,48,30,10,50,9,Not spayed/neutered,None,Not pregnant
Charophyte,Female,red; green,fish; turkey; soft,Dislikes only cheese,1,None,None,Chinchilla Persian,a0b359fa-2bd5ce4d-9f6cceb3-92801595,Chinchilla Persian,Tea,11/10/2024 5:24:29 am,560,Female,Mixed Breed,40926,false,true,89.4199286517128,40,Zayne,Brownie Mix,,42,15,82,35,17,20,65,22,21,36,83,22,92,18,88,19,95,25,5,34,47,26,0,39,0,25,0,8,90,20,91,12,0,15,1,0,100,12,0,37,45,24,50,39,Not spayed/neutered,None,Not pregnant
Chevalia,Female,red; yellow,chicken; beef; soft; water,No food finickiness,1,None,None,Tabby,3b6d9beb-6ca2bb47-afd3c3b-10c3bec,Tabby,Nebula @ Poppy Hill,1/1/2025 10:42:29 am,804,Female,Mixed Breed,318,false,true,36.7924528301887,9,Tilapia,Denzel," // + no reselling or mpa'ing please! if no longer wanted, return to me or delete // + prefix poppyhill('s) for dogz, calluna('s) for catz // + free to sex change/brex bred petz unless stated otherwise // +  for hexies: please no touching code/rehexing, minus changing texture pathways.  //  // enjoy your new pet! ~ //  // x nebula @ poppy hill",95,34,52,12,1,28,86,30,2,22,91,30,80,2,86,29,94,33,11,25,54,6,4,8,8,18,0,30,45,10,73,29,50,11,1,0,100,14,0,34,65,15,50,27,Not spayed/neutered,None,Not pregnant
Choco,Female,red; yellow,beef; catnip; cheese,No food finickiness,01; 06,None,None,Tabby,af1722e-12ab2d40-9d2387ac-48918a51,Tabby,Prism,4/22/2023 11:12:7 am,376,Female,Mixed Breed,21694,false,true,94.5560984604038,34,Janey,Mocha,,84,14,97,4,0,36,98,23,15,14,84,19,12,27,90,30,91,32,12,3,40,20,19,20,0,48,0,23,83,18,60,7,0,13,1,0,100,28,0,10,51,17,50,28,Not spayed/neutered,None,Not pregnant
Chomper,Female,red,chicken; turkey,No food finickiness,01; 24,None,None,Maine Coon,697823a0-51372a4d-9bb35998-4fdfc6a3,Tabby,Prism,4/22/2023 11:13:41 am,497,Female,Mixed Breed,164,false,true,64.6341463414634,10,Potato,Dusty,,50,21,50,22,50,21,62,21,60,5,3,16,73,16,92,12,92,37,11,17,45,32,15,24,0,9,0,28,45,38,90,5,50,42,1,0,100,2,0,47,54,44,50,23,Not spayed/neutered,None,Not pregnant
Cinnamon,Female,red; blue,chicken; milk; soft; water,No food finickiness,01; 20,(6) \resource\catz\mainecoon\mainestripe13.bmp | \resource\catz\mainecoon\mainestripe11.bmp | \resource\catz\mainecoon\maine13.bmp | \resource\catz\mainecoon\mainestripe16.bmp | \resource\catz\mainecoon\maine16.bmp | \resource\catz\mainecoon\mainestripe14.bmp,None,B+W Shorthair,ea2a77c-2c8d5e44-8bf14ccb-c6a63316,Persian,mazzew,7/29/2024 3:35:15 am,801,Female,Mixed Breed,950,false,true,99.7894736842105,11,Homebody70,Homebody55,"MAZZEW@MAZZEW'S EPIC BRED/HEXED CAT //  // feel free to brex these cats to your hearts desire. if you no longer want them, an MPA is very much preffered or you can send back to luckymazzew@gmail.com. prefix is just mazzew. ENJOy!!!",89,21,86,43,94,6,90,31,42,9,99,18,90,13,84,46,86,9,8,7,64,12,10,31,0,39,0,42,6,28,85,9,0,24,1,0,100,16,0,25,53,27,50,37,Not spayed/neutered,None,Not pregnant
Cocoa,Female,red; yellow,fish; turkey,No food finickiness,1,None,None,Chinchilla Persian,f964f412-f4ba1241-a2b0123a-facbc1b,Chinchilla Persian,Whimsy,12/5/2025 5:33:6 pm,403,Female,Mixed Breed,318,false,true,75.4716981132076,9,Honest,Mister,Bred with the following OWs in: // queenie's relined chinchi // cargo smoke & tabby MC // cargo tabby recolors (leopard) // tea's paintball oshie //  // Keep Whimsy's as the prefix if showing. //  // Feel free to change name or gender. //  // Please return to me or MPA if no longer wanted. //  // Enjoy! Feel free to reach out if you have any questions/issues.,42,2,95,35,14,11,50,27,3,17,93,8,93,16,86,45,95,25,16,23,64,27,8,18,0,49,86,32,37,19,80,22,41,39,1,0,100,25,0,3,43,29,50,38,Not spayed/neutered,None,Not pregnant
Coffee_Mug,Male,red; yellow,chicken; soft; bone; water,No food finickiness,1,(2) \resource\catz\tortoiseshell\mottled2_cream2.bmp | \resource\catz\tortoiseshell\mottled5_cream2.bmp,None,Orange Shorthair,a4e5a6ce-1117e45-a2345476-1a54ea61,Chinchilla Persian,Mazzew@Mazzew,12/11/2023 1:39:15 am,808,Male,Mixed Breed,634,false,true,83.7539432176656,10,Pouncer26,Jester4,"MAZZEW@MAZZEW'S EPIC BRED/HEXED CAT //  // feel free to brex these cats to your hearts desire. if you no longer want them, an MPA is very much preffered or you can send back to luckymazzew@gmail.com. prefix is just mazzew. ENJOy!!!",89,41,8,13,82,44,95,25,21,20,96,47,7,12,41,26,97,31,14,15,40,33,0,41,1,28,0,38,49,34,86,10,100,35,1,0,100,8,0,33,54,43,50,24,Not spayed/neutered,None,Not pregnant
Cottage Cheese,Female,blue,turkey; catnip,No food finickiness,1,None,None,Persian,7d91c965-475ee445-8fbee38b-360c10,Persian,Arie @ LitterzFactory,7/1/2024 8:40:57 pm,1,Female,Purebred,0,true,false,0,1,None,None,"Hey there! Thank you for adopting this pet. Please enjoy your new companion and kindly keep the following rules in mind: //  // - Keep LF's in the prefix. // - Do not put up for download, auction, or sale. // - If no longer wanted, return the pet to me. // - You may change the pet's gender and name. // - Do not hex, brex, edit in any way, or open in an editor without my explicit permission. // - Enjoy! :D //  // Arie @ Litterz Factory // https://homebody.eu/lf // litterzfactory@gmail.com",15,37,97,41,16,18,63,44,27,19,2,22,12,34,89,16,92,12,6,17,67,20,6,46,0,11,0,7,42,30,14,10,0,38,1,0,100,3,0,17,61,14,50,32,Not spayed/neutered,None,Not pregnant
Cozy,Male,yellow,fish; milk,Dislikes only cheese,1,(6) \resource\catz\stripe\stripe14_black.bmp | \resource\catz\stripe\leopard_black.bmp | \resource\catz\stripe\stripe17_black.bmp | \resource\catz\stripe\stripe16_black.bmp | \resource\catz\stripe\stripe11_black.bmp | \resource\catz\stripe\stripe13_black.bmp,None,Chinchilla Persian,248b3859-dacdf746-9b7a7fec-663c30a0,Chinchilla Persian,Whimsy,12/2/2025 6:33:21 pm,780,Male,Mixed Breed,280,false,true,48.5714285714286,9,Ruby Tuesday,Don't Make It Political,Bred with the following OWs in: // queenie's relined chinchi // cargo tabby recolors (leopard) //  // Keep Whimsy's as the prefix if showing. //  // Feel free to change name or gender. //  // Please return to me or MPA if no longer wanted. //  // Enjoy! Feel free to reach out if you have any questions/issues.,94,28,91,26,9,26,94,18,13,22,60,17,67,32,12,19,81,11,15,10,48,17,13,44,0,38,0,44,26,22,30,27,82,32,1,0,100,30,0,17,79,15,50,47,Not spayed/neutered,None,Not pregnant
Cran,Female,blue,cheese,No food finickiness,1,None,None,Russian Blue,a87b4b70-35a8f4a-929333d5-a7512c4,Russian Blue,Nena @ Amenity,11/21/2025 6:26:59 pm,1,Female,Purebred,0,true,false,0,1,None,None,Thank you for adopting from Nena @ Amenity! //  // RULES //  // - Keep Amenity in the show prefix // - Do not put up for download or resell on PUGS. // - Brexing is fine. //  // If you no longer want feel free to send back to xo.amenity@gmail.com //  // Thanks Again! // Nena //  // Amenity: http://petz.fyrefly.org // Vanity: http://vanity.fyrefly.org //  // ,83,25,96,26,19,26,100,33,31,43,71,14,86,16,88,19,100,31,14,23,43,16,18,40,0,44,0,27,59,27,42,13,0,17,1,0,100,31,0,26,32,8,50,41,Not spayed/neutered,None,Not pregnant
Croak,Male,red,fish,Dislikes only cheese,1,None,None,B+W Shorthair,78788e80-d8f8d4e-befc388b-382f201f,Persian,KingHarry,7/3/2024 8:58:29 pm,647,Male,Mixed Breed,634,false,true,70.1892744479495,10,Raisin,Meep,"OWs Used: // - Cargo bicolour B&W // - Cargo smoke & tabby MC // - Silverfish textured oshie // - Phantasm frosted tabby // - Sharon dali spotted RB //  // RULES // - Feel free to change name and gender // - Feel free to change eyelids or brex in any way // - If shown, prefix is King/King's // - Don't put up for download/auction/sale // - If you no longer want the pet, feel free to MPA!",18,5,15,7,99,12,89,31,80,19,99,21,20,28,18,16,92,45,7,26,68,7,17,35,1,23,0,39,73,23,93,10,0,23,1,0,100,7,0,26,71,12,50,13,Not spayed/neutered,None,Not pregnant
