Name,BigPic,Gender,Favorite Color,Favorite Flavor,Food Finickiness,Signature Moves,External Texture List,Palette,Breed Face,GUID,Breed Personality,Owner Name,Adoption Date,Generations,Gender,Blood Status,Ancestors,Full Tree,Tree Trimmed,Inbred %,Generations Stored in Tree,Mom,Dad,Profile Comment,Liveliness Center,Liveliness Range,Playfulness Center,Playfulness Range,Independence Center,Independence Range,Confidence Center,Confidence Range,Naughtiness Center,Naughtiness Range,Acrobaticness Center,Acrobaticness Range,Patience Center,Patience Range,Kindness Center,Kindness Range,Nurturing Center,Nurturing Range,Finickiness Center,Finickiness Range,Intelligence Center,Intelligence Range,Messiness Center,Messiness Range,Quirkiness Center,Quirkiness Range,Insanity Center,Insanity Range,Constitution Center,Constitution Range,Metabolism Center,Metabolism Range,Dogginess Center,Dogginess Range,LoveDestiny Center,LoveDestiny Range,Fertility Center,Fertility Range,LoveLoyalty Center,LoveLoyalty Range,Libido Center,Libido Range,OffspringSex Center,OffspringSex Range,Is Neutered?,With Child?,Is Pregnant?
Bobo,,Female,red,beef,No food finickiness,1,None,pokebird,Scottie,7dadf754-b5823446-9055e58-e0219443,Scottie,Angora,4/15/2025 10:8:31 pm,1,Female,Purebred,0,true,false,0,1,None,None,,50,0,50,0,50,0,50,0,50,0,50,0,50,0,96,32,91,29,0,36,52,35,6,25,0,29,0,18,54,25,58,33,100,21,1,0,100,31,0,41,33,31,50,43,Not spayed/neutered,None,Not pregnant
Bright,1,Male,green,beef,No food finickiness,4,None,partynight,Great Dane,5f322323-d6d6ea47-98bd646a-63728057,Great Dane,Angora,12/31/2024 3:1:30 pm,1,Male,Purebred,0,true,false,0,1,None,None,,50,0,50,0,50,0,50,0,50,0,50,0,50,0,91,9,81,21,0,5,30,26,10,6,0,25,0,13,56,16,32,19,100,32,1,0,100,42,0,24,42,22,50,30,Not spayed/neutered,None,Not pregnant
Bubblegum Blitz,,Female,green,cheese,Only likes 1 flavor,1,None,bluff,Calico,6d798a62-e083e04b-b42ed845-91924747,Calico,Angora,5/7/2026 2:27:10 pm,1,Female,Purebred,0,true,false,0,1,None,None,,19,20,67,31,90,27,45,23,93,18,50,0,50,0,82,38,80,40,9,31,63,23,5,3,26,45,0,45,50,22,70,25,100,19,1,0,100,38,0,36,36,21,50,38,Not spayed/neutered,None,Not pregnant
Candlenut,,Female,blue,fish,No food finickiness,20,None,None,Alley Cat,597ce83d-81d4c644-ada1f6fc-7fb2f666,Alley Cat,Bunni @ Funfetti,11/20/2023 4:18:34 pm,1,Female,Purebred,0,true,false,0,1,None,None,"Funfetti's Mini Toasted Pecan Alleys // *********************************** // - Adopted from the Petz Life Advent '23 //  // RULES // - Feel free to rename, gender swap, and reroute textures // - Keep Funfetti in the show name // - Do not hex/brex // - Return or MPA if you no longer want //  // xx // Bunni // bunni@funfetti.net // http://www.funfetti.net",83,7,7,10,84,15,94,30,85,14,94,26,8,16,8,2,17,18,9,16,88,31,100,40,84,30,0,31,7,18,92,29,0,3,1,0,100,14,0,20,94,25,50,27,Not spayed/neutered,None,Not pregnant
Cirrutopia's Vibrant Heart,,Male,green,cheese,No food finickiness,1,None,cirpinker,Dalmatian,9a5edb73-6624fc42-8fce4e7-cb6759cb,Dalmatian,Andi @ Cirrutopia,2/14/2025 12:31:16 pm,1,Male,Purebred,0,true,false,0,1,None,None,,92,29,93,21,10,14,67,8,56,15,1,26,39,19,86,33,80,13,0,12,14,40,17,27,0,39,0,27,6,16,2,19,100,44,1,0,100,10,0,26,61,28,50,34,Not spayed/neutered,None,Not pregnant
cocoa,,Female,blue,turkey; milk; catnip,No food finickiness,1,(5) \resource\catz\bobaxmas1.bmp | \resource\catz\bobaxmas1.bmp | \resource\catz\bobaxmas1.bmp | \resource\catz\bobaxmas1.bmp | \resource\catz\bobaxmas1.bmp,None,Orange Shorthair,fefd70ba-12d28148-b8ecc4f-45102ba8,Orange Shorthair,heather,8/9/2023 3:27:44 am,1,Female,Purebred,0,true,false,0,1,None,None,,81,22,87,9,4,13,9,37,3,31,15,8,95,21,89,37,88,43,7,14,66,30,15,7,0,24,0,28,11,12,82,27,0,30,1,0,100,35,0,30,67,15,50,18,Not spayed/neutered,None,Not pregnant
CoFr8,,Male,yellow; blue,chicken; fish,No food finickiness,1,None,None,Persian,eddbc049-cd4b45-8249204b-ee358aa,Fancy Mice,Shade@NSP,7/26/2024 10:26:43 pm,2,Male,Purebred,2,true,false,0,2,Frisky,Cookie,Thank you for adopting! // =-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-= // ~ Please keep NSP in the show name // =-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-= // Shade@NSP // http://nightshadespetz.weebly.com/,50,0,50,0,50,0,50,0,50,0,50,0,50,0,86,16,92,10,1,32,52,17,6,45,0,29,0,34,60,24,60,15,0,45,1,0,100,21,0,7,49,22,50,19,Not spayed/neutered,None,Not pregnant
Comet,,Male,yellow,fish; milk; catnip,No food finickiness,1,(3) \resource\textures\PINKFUR.bmp | \resource\textures\ICYFUR.bmp | \resource\textures\MAGENTAFUR2.bmp,cirpyr,Orange Shorthair,d9e6341e-64d1f845-a617cb83-66d5912b,Orange Shorthair,Lizzie,5/16/2025 12:31:54 am,1,Male,Purebred,0,true,false,0,1,None,None,"Please use prefix Ferality's if shown! // Example:  // Ferality's CatzName at [Your Suffix] //  // BRED PETZ: Feel free to make brex changes (eye/eyelid/nose colors) etc, palette swap, sex change, adopt out, whatever. My biggest thing is using my prefix/suffix if you show, and if you got a pet from me for free please do not sell it (welcome to give away to someone else for free). Ty! <3 //  // For HEXED PETZ such as ditto and flareon, please do not duplicate them, or use them as a hex base, modify them, etc, without asking me first. If you have any questions or changes you want to make please contact me. Thanks!",87,33,96,7,6,23,6,33,8,31,20,19,81,21,98,46,86,36,4,22,53,26,3,21,0,10,0,28,20,21,95,15,0,38,1,0,100,28,0,30,65,17,50,20,Not spayed/neutered,None,Not pregnant
Croissant,,Male,blue,beef,No food finickiness,1,None,infestation,Great Dane,e9102c81-db21484c-b07a5fb0-e9489eb4,Great Dane,Angora,10/20/2025 12:50:27 pm,1,Male,Purebred,0,true,false,0,1,None,None,,50,0,50,0,50,0,50,0,50,0,50,0,50,0,97,19,98,25,0,4,61,34,14,21,0,31,0,19,38,38,34,26,100,15,1,0,100,23,0,7,52,3,50,24,Not spayed/neutered,None,Not pregnant
Delia,,Female,green,fish; soft,No food finickiness,1,None,harvest,Siamese,fbbef1f0-26f4b74f-a3de21f1-a73648eb,Chinchilla Persian,twincy,12/28/2024 8:11:16 pm,1,Female,Purebred,0,true,false,0,1,None,None,,46,33,88,7,6,14,88,17,10,24,62,35,58,21,100,28,86,25,19,16,33,31,8,28,10,43,86,9,59,22,35,24,0,23,1,0,100,32,0,25,52,30,50,20,Not spayed/neutered,None,Not pregnant
Done,,Male,blue,beef,No food finickiness,1,(1) \resource\dogz\winterhair6.bmp,None,Dalmatian,ee7221c0-e5c7274d-a8e13a18-5611cf9d,Dalmatian,Buck@Medusa,11/9/2023 3:58:58 pm,12,Male,Purebred,494,false,false,0,12,Kelli,Andrew,"Thank you for adopting from Buck@Medusa! //  // ++++++++RULES++++++++ //  // 1. Keep Medusa in the showname if you show // 2. You may brex and/or make any changes that you like // 3. Please MPA, return or delete if you no longer want // 4. Do not put up for sale anywhere //  // +++++++++++++++++++++",94,24,50,19,10,21,50,16,62,1,50,23,35,7,100,3,94,41,0,24,41,26,6,19,1,42,0,21,10,42,10,36,100,14,1,0,100,29,0,18,47,22,50,41,Not spayed/neutered,None,Not pregnant
Egg,,Female,green,fish,No food finickiness,1,None,None,Bunny,82684cec-4b45244e-bbe19d6e-eddcf9c2,Bunny,Simplearcticfoxes,3/19/2024 3:42:45 am,1,Female,Purebred,0,true,false,0,1,None,None,"Thank you for adopting this pet! //  // If you have any problems or you do not want the pet, please contact me at Simplearcticfoxes@gmail.com or Simplearcticfoxes on discord // ",14,37,11,18,10,43,18,47,17,35,0,28,87,32,94,24,95,44,19,24,61,6,9,27,13,18,0,20,62,21,62,31,0,13,1,0,100,14,0,44,51,39,50,48,Spayed/Neutered,None,Not pregnant
FabFluff6,,Female,green; yellow,fish; milk; catnip,No food finickiness,1,(3) \hair6.bmp | \resource\textures\fantabby\pfantab.bmp | \resource\textures\fantabby\pfantab50.bmp,None,Persian,d3c746b3-503e8640-bdca4ace-c094338,Persian,Kris@Tanglewood,6/21/2025 6:31:33 pm,8,Female,Mixed Breed,254,false,false,0,8,Rainbowbutt,Heartbeat,"Thank you for adopting a pet from me! I'm Kristina (EntwinedLove) of Tanglewood. Rules for adoption are quite simple: Once the pet is yours, it's yours. Except please don't resell (like on Pet Bazaar.) If you show, please use Tangled as a prefix!",11,13,89,19,19,11,64,38,75,11,12,24,6,16,96,20,99,40,13,20,47,31,4,24,4,12,0,19,64,35,8,18,50,42,1,0,100,38,0,21,42,19,50,28,Not spayed/neutered,None,Not pregnant
firework,,Male,red,milk; catnip; cheese,No food finickiness,1,(5) \resource\textures\laceynywhitestars.bmp | \resource\textures\laceynychampagneglitter.bmp | \resource\textures\laceynyblackglitter.bmp | \resource\textures\laceynygoldglitter.bmp | \resource\textures\laceynyblackstars.bmp,None,Orange Shorthair,d3cd19f2-e4e71e48-947a6daf-7a1272c0,Orange Shorthair,lacey,11/24/2024 9:52:36 pm,1,Male,Purebred,0,true,false,0,1,None,None,,96,30,93,3,16,20,20,18,3,26,20,30,95,14,96,39,100,29,20,32,63,21,3,18,0,35,0,21,13,16,98,22,0,26,1,0,100,31,0,11,34,22,50,34,Not spayed/neutered,None,Not pregnant
Fishsalmon,,Female,yellow,catnip; cheese,Only likes 1 flavor,1,None,None,Persian,dc5693a2-2e9cee48-8f7c712f-17141da,Persian,Mazz,3/1/2013 1:55:53 am,1,Female,Purebred,0,true,false,0,1,None,None,,4,30,85,28,5,44,32,9,97,37,3,23,7,28,88,46,82,29,17,31,30,20,2,12,0,18,0,36,56,31,4,33,100,33,1,0,100,9,0,35,48,40,50,45,Not spayed/neutered,None,Not pregnant
Flamingo,,Male,blue,beef,No food finickiness,1,None,pastel,Sheepdog,31db1f0-d3b54b-899a7129-8e751ac7,Sheepdog,milktea,11/25/2024 2:9:22 pm,1,Male,Purebred,0,true,false,0,1,None,None,"- showing prefix is milktea // - playdates are allowed with trusted members // - name and gender changing is fine, but do not change or copy the coding, or claim as your own. // - no redistributing, or file-sharing // - do not put up for download, auction, sale, adoptions // - if you no longer want this pet, please return to me at merjben@gmail.com",44,30,94,21,19,12,35,34,12,44,0,8,99,43,93,6,88,41,0,32,0,29,6,20,0,30,0,48,12,26,33,24,100,26,1,0,100,21,0,22,60,14,50,15,Not spayed/neutered,None,Not pregnant
Flurry,,Female,green,chicken; catnip,No food finickiness,1,(3) plush.bmp | plush.bmp | plush.bmp,lzdilute,Unknown,247def0-cba3da4b-886c52cc-1716fea3,Honker,Lizzie@Ferality,12/15/2025 2:10:41 pm,1,Female,Purebred,0,true,false,0,1,None,None,"Thank you for adopting! <3 Please use prefix Ferality's if shown! Please DO NOT combine our prefixes (Ferality/X) unless this was a breeding collab. Thank you! //  // Example:  // Ferality's PetName at [Your Suffix] //  // Feel free to make brex changes (eye/eyelid/nose colors) etc, palette swap, sex change, adopt out, whatever. My biggest thing is using my prefix if you show, and if you got a pet from me for free please do not sell it (welcome to give away to someone else for free, MPA, etc).  //  // For HEXED PETZ, please do not duplicate them, use them as a hex base, modify them, etc, without asking me first. If you have any questions or changes you want to make please contact me. If no longer wanted please return to me. Thanks!",15,0,86,37,8,26,37,20,7,12,49,35,19,18,91,14,93,26,0,36,37,30,8,29,100,32,0,26,33,14,89,15,100,35,1,0,100,39,0,23,54,11,50,18,Not spayed/neutered,None,Not pregnant
Flygon1,,Female,yellow,turkey,No food finickiness,1,(2) \resource\catz\Pokemon\MIMICTONGUE5.bmp | \resource\catz\Pokemon\ALENARAINSHORT17.bmp,None,Maine Coon,10d4aa59-dc117c47-8cea52b0-13f3d66f,Maine Coon,Audaxity,5/23/2025 4:57:53 am,1,Female,Purebred,0,true,false,0,1,None,None,"Rules: // -Prefix is Audaxity or TW // -No resell // -If no longer wanted, please MPA or return to petzspiderbatz@gmail.com or CelestialEvolution/Audaxity on Discord // -Minor fixes/name changes/gender swapping/etc are all fine! Pls feel free to ask about any bigger changes or if it's something you don'tk know how to change yourself! // -Enjoy!",11,19,3,36,83,30,98,29,51,32,25,26,8,21,84,30,99,24,8,2,80,4,20,12,0,21,0,21,46,23,3,27,89,18,1,0,100,26,0,19,36,19,50,27,Not spayed/neutered,None,Not pregnant
Giedi,,Female,red,milk,No food finickiness,5,(5) \resource\catz\tunawizmoongold1.bmp | \resource\catz\tunawizmoongold2.bmp | \resource\catz\tunawizstargold1.bmp | \resource\catz\tunawizstargold2.bmp | \resource\catz\tunawizstargold3.bmp,seakelp,Maine Coon,1a4e953b-df21e94a-85d61e3-3c1c8ff,Maine Coon,ahi tuna,11/11/2025 10:35:35 pm,1,Female,Purebred,0,true,false,0,1,None,None,hexed by ahi tuna for petz life advent 2025  //               ~*~ happy holidays!! *~* //  // rules: // - no editing without permission // - please MPA or (preferably) return to myrtillocactus.geometrizans@gmail.com if no longer wanted // - use tuna's as a prefix if showing :-) //  // enjoy!!!,90,12,7,29,8,30,91,37,0,12,84,22,87,16,88,29,86,32,15,42,100,5,18,25,0,22,0,20,91,18,97,34,99,3,1,0,100,26,0,21,61,43,50,26,Not spayed/neutered,None,Not pregnant
giftwrap,,Female,blue,fish; milk; catnip,No food finickiness,8,(5) \resource\textures\laceypeppermint-stars.bmp | \resource\textures\laceypeppermint-stars.bmp | \resource\textures\laceyseaweedgreen-dark-stars.bmp | \resource\textures\laceyseaweedgreen-dark-stars.bmp | \resource\textures\laceypeppermint-stars.bmp,None,Orange Shorthair,4ce29321-d5d7174a-96a86e7-514ba710,Orange Shorthair,lacey,12/3/2023 5:9:46 pm,1,Female,Purebred,0,true,false,0,1,None,None,,85,12,99,30,14,13,13,28,20,26,5,42,88,20,82,35,99,27,15,16,32,23,4,28,0,45,0,34,2,5,89,15,0,28,1,0,100,30,0,36,30,9,50,26,Not spayed/neutered,None,Not pregnant
Goldcrest,,Male,blue,fish; milk; catnip,No food finickiness,1,(4) \resource\textures\AUTEPH4FUR.bmp | \resource\textures\AUTEPH6FUR.bmp | \resource\textures\VELVET12.bmp | \resource\textures\AUTENCH2FUR.bmp,None,Orange Shorthair,308557c1-cc6d344b-b16c6b5e-c43e05f,Orange Shorthair,silverfish,6/24/2021 6:8:39 pm,1,Male,Purebred,0,true,false,0,1,None,None,,84,22,85,28,12,40,1,18,10,28,8,18,95,28,80,19,82,28,2,16,49,21,10,37,0,44,0,17,7,33,98,38,0,31,1,0,100,26,0,16,55,28,50,27,Not spayed/neutered,None,Not pregnant
Grub2015,,Male,blue,fish; milk; catnip,No food finickiness,1,None,None,Siamese,69be27d3-e0c7db43-8e3ac997-63232e1c,Orange Shorthair,milktea,4/2/2024 2:13:27 pm,1,Male,Purebred,0,true,false,0,1,None,None,"- showing prefix is milktea // - playdates are allowed with trusted members // - name and gender changing is fine, but do not change or copy the coding, or claim as your own. // - no redistributing, or file-sharing // - do not put up for download, auction, sale, adoptions // - if you no longer want this pet, please return to me at merjben@gmail.com",91,20,94,13,9,12,0,29,10,23,2,24,80,21,97,24,93,30,10,4,48,21,19,10,17,36,0,26,9,22,84,7,0,23,1,0,100,28,0,41,38,24,50,32,Not spayed/neutered,None,Not pregnant
Hennifer Lopez,,Female,yellow,fish; soft; water,No food finickiness,1,(1) \resource\catz\altfur59.bmp,None,B+W Shorthair,583ff5d1-d58da441-998c18e9-33b979a6,B+W Shorthair,PeachPup,3/26/2024 1:38:4 am,1,Female,Purebred,0,true,false,0,1,None,None,"Hello! I was hexed by PeachPup for the Great Easter Egg Hunt of 2024! //  // Feel free to change my name/gender. If you ever don't have room for me, please send me back to peachpup97@gmail.com //  // Thanks! :)",85,25,0,29,95,17,100,31,15,20,90,19,15,45,3,28,92,45,9,25,35,25,11,21,0,49,0,13,81,15,85,28,0,16,1,0,100,39,0,31,68,40,50,27,Not spayed/neutered,None,Not pregnant
Hera,,Male,green,beef; milk; catnip,No food finickiness,1,None,None,Orange Shorthair,7fe343d-fbe26c42-828da872-61238f1,Orange Shorthair,Audaxity,6/25/2025 2:20:35 am,1,Male,Purebred,0,true,false,0,1,None,None,"Rules: // -Prefix is Audaxity or TW // -No resell // -If no longer wanted, please MPA or return to petzspiderbatz@gmail.com or CelestialEvolution/Audaxity on Discord // -Minor fixes/name changes/gender swapping/etc are all fine! Pls feel free to ask about any bigger changes or if it's something you don'tk know how to change yourself! // -Enjoy!",91,35,94,18,10,41,17,11,4,17,18,20,90,22,81,25,93,35,16,27,62,29,6,35,0,32,0,23,2,26,99,27,0,32,1,0,100,24,0,34,38,36,50,44,Not spayed/neutered,None,Not pregnant
Honeybee211,,Female,blue,fish,No food finickiness,1,(1) \resource\catz\mt_orangenoise.bmp,None,Maine Coon,eae7bf93-d2f9c74f-902f9bc5-74b88717,Maine Coon,milktea,3/23/2024 8:8:42 pm,1,Female,Purebred,0,true,false,0,1,None,None,"- showing prefix is milktea // - playdates are allowed with trusted members // - name and gender changing is fine, but do not change or copy the coding, or claim as your own. // - no redistributing, or file-sharing // - do not put up for download, auction, sale, adoptions // - if you no longer want this pet, please return to me at merjben@gmail.com",81,31,14,41,10,18,83,21,2,39,94,17,81,12,90,26,88,21,7,16,100,10,18,31,0,26,0,10,81,14,91,44,98,30,1,0,100,18,0,20,31,24,50,24,Not spayed/neutered,None,Not pregnant
Honk,,Male,yellow,beef,No food finickiness,1,None,None,Chihuahua,0859365-eb84040-b650505d-be24f6c,Dachshund,Megan@Xoops,4/24/2025 8:44:37 am,1,Male,Purebred,0,true,false,0,1,None,None,"-Do not alter or copy the coding, or claim as your own. Rerouting textures is fine. // -No redistributing, reselling, or file-sharing. // -Keep Xoops in the prefix for hexed petz if you plan to show. // -Do not MPA or delete - please return to me at xoops@fantazzled.com if you no longer want this pet. //  // Thank you! //  // -Megan @ Oasis & Xoops // http://www.oasis.fantazzled.com/ // http://www.xoops.fantazzled.com/ // http://www.shanty.fantazzled.com/",98,14,87,40,35,26,86,21,3,28,8,25,16,33,83,31,96,3,0,8,55,31,9,13,9,31,0,14,69,24,43,18,100,32,1,0,100,13,0,38,51,24,50,20,Not spayed/neutered,None,Not pregnant
Hootenany,,Male,green,chicken,No food finickiness,1,(6) plush.bmp | \resource\textures\candytabbyv2\colorstripe14.bmp | \resource\textures\candytabbyv2\colorstripe16.bmp | \resource\textures\candytabbyv2\colorstripe16.bmp | \resource\textures\candytabbyv2\colorstripe17.bmp | \resource\textures\candytabbyv2\colorstripe16.bmp,candy,Tabby,9ddc9816-161fe144-93afae72-d99df9f9,Tabby,queenie,7/18/2024 1:54:50 pm,1,Male,Purebred,0,true,false,0,1,None,None,requires candy.bmp palette // + prism mirror lens' palette swapper petza //  // put me in a basket!,90,22,100,25,6,44,88,24,77,17,99,6,88,6,89,6,94,3,5,5,37,35,19,27,0,5,0,29,41,37,97,17,0,17,1,0,100,35,0,34,42,28,50,16,Not spayed/neutered,None,Not pregnant
Hot Sauce,,Male,brown,fish; soft; water,No food finickiness,1,(6) \resource\textures\transtest6.bmp | \resource\textures\brnred.bmp | \resource\textures\220babyzhair0TIGER1.bmp | \resource\textures\vortexorng.bmp | \resource\textures\plush384.bmp | \resource\textures\dontstarve36.bmp,None,Chinchilla Persian,cec2e541-2963de40-b2d940d5-f7f36f79,B+W Shorthair,Dew,11/24/2024 10:10:11 pm,1,Male,Purebred,0,true,false,0,1,None,None,,83,42,1,35,89,24,100,11,0,20,81,31,3,4,12,45,88,34,7,43,57,24,2,14,0,7,0,27,89,20,83,25,0,22,1,0,100,11,0,28,61,15,50,28,Not spayed/neutered,None,Not pregnant
Ice To Meet You,,Female,blue,beef,No food finickiness,7,(1) \Resource\Dogz\ltpf.bmp,None,Great Dane,c72b9014-847b9249-9c75d2c1-51a37996,Dalmatian,Keena,11/13/2024 3:33:14 am,1,Female,Purebred,0,true,false,0,1,None,None,,86,26,94,36,12,24,53,13,2,24,69,30,67,26,98,45,100,25,0,13,15,21,5,22,0,24,0,39,2,25,17,31,100,43,1,0,100,27,0,16,51,14,50,35,Not spayed/neutered,None,Not pregnant
IDR11,,Female,red,bone,No food finickiness,1,(1) \resource\dogz\ctickgrey_sm1.bmp,None,Unknown,29351a3-665a9d45-8fd77aef-1c6cfa0,Dalmatian,Becca @ Retro,8/10/2024 8:42:43 pm,1,Female,Purebred,0,true,false,0,1,None,None,,50,0,50,0,50,0,50,0,50,0,50,0,50,0,88,46,81,4,0,11,34,13,15,23,0,42,0,25,58,26,34,24,100,34,1,0,100,31,0,13,63,14,50,27,Not spayed/neutered,None,Not pregnant
